water_temp_celcius,doxy_mg_L,pH,chl_a_mg_L,year,Remarks
15.13135802,10.05148515,,0.005019449,1986,estuary_chesapeakebay_cb1.0
17.72894737,9.556084656,8.15,0.007634357,1984,estuary_chesapeakebay_cb1.1
17.03627451,9.514302135,7.912121212,0.007910927,1984,estuary_chesapeakebay_cb2.1
16.83651877,9.021766724,,0.00537534,1984,estuary_chesapeakebay_cb2.2
16.60376068,8.752061856,7.732704403,0.00815086,1984,estuary_chesapeakebay_cb3.1
16.42857143,9.055945946,7.955367232,0.009787917,1984,estuary_chesapeakebay_cb3.2
16.8336478,10.08314961,8.17970297,0.014436603,1984,estuary_chesapeakebay_cb3.3c
19.82430108,9.529568035,8.195360825,0.015433841,1984,estuary_chesapeakebay_cb3.3e
19.86666667,9.507969762,8.292397661,0.018484741,1984,estuary_chesapeakebay_cb3.3w
16.93011647,9.548280467,8.160119048,0.011741302,1984,estuary_chesapeakebay_cb4.1c
19.79847495,8.930459519,8.2625,0.011514524,1984,estuary_chesapeakebay_cb4.1e
20.01113537,9.672697368,8.219306931,0.016823513,1984,estuary_chesapeakebay_cb4.1w
16.89101498,9.616227045,8.195505618,0.009956277,1984,estuary_chesapeakebay_cb4.2c
19.75786026,9.088903509,,0.009634086,1984,estuary_chesapeakebay_cb4.2e
19.58217391,8.999585153,8.155737705,0.014713838,1984,estuary_chesapeakebay_cb4.2w
16.74751656,9.485282392,8.207821229,0.009064556,1984,estuary_chesapeakebay_cb4.3c
19.47991361,8.840607375,8.193243243,0.008960905,1984,estuary_chesapeakebay_cb4.3e
19.60563991,8.935315904,,0.014097657,1984,estuary_chesapeakebay_cb4.3w
17.34254967,9.841791045,8.255952381,0.010554824,1984,estuary_chesapeakebay_cb4.4
17.15992011,9.543746667,8.316751269,0.009243197,1984,estuary_chesapeakebay_cb5.1
16.45205931,9.275827815,,0.00991645,1985,estuary_chesapeakebay_cb5.1w
17.38583333,9.420116667,,0.008779992,1984,estuary_chesapeakebay_cb5.2
17.30989399,9.210088496,,0.008428176,1984,estuary_chesapeakebay_cb5.3
17.82929119,9.510241908,8.294757709,0.00857989,1984,estuary_chesapeakebay_cb5.4
18.66969201,9.329480255,8.291792035,0.009173503,1984,estuary_chesapeakebay_cb5.4w
17.88181853,9.564090966,8.299863014,0.00803174,1984,estuary_chesapeakebay_cb5.5
18.04139595,9.679863469,8.310123051,0.008363721,1984,estuary_chesapeakebay_cb6.1
18.02541929,9.556742056,8.307890772,0.007998723,1984,estuary_chesapeakebay_cb6.2
17.99123704,9.313502793,8.256908752,0.008243601,1984,estuary_chesapeakebay_cb6.3
17.88618182,9.318535547,8.155284211,0.007613149,1984,estuary_chesapeakebay_cb6.4
18.07378571,9.312586408,8.240328947,0.008150652,1984,estuary_chesapeakebay_cb7.1
17.69368093,8.983760587,8.171074169,0.008988318,1984,estuary_chesapeakebay_cb7.1n
18.11224808,9.498631783,8.280330097,0.007290389,1984,estuary_chesapeakebay_cb7.1s
18.04633459,9.462191288,8.279676806,0.007198102,1984,estuary_chesapeakebay_cb7.2
18.04905671,9.062341556,8.223955224,0.006712548,1984,estuary_chesapeakebay_cb7.2e
17.74187985,9.21790538,8.124688889,0.005527184,1984,estuary_chesapeakebay_cb7.3
17.68481603,8.935828467,8.100309735,0.005966012,1984,estuary_chesapeakebay_cb7.3e
17.12954259,8.766810056,8.07260274,0.00472683,1984,estuary_chesapeakebay_cb7.4
17.12887037,8.632568773,8.037066667,0.00411629,1984,estuary_chesapeakebay_cb7.4n
17.68253623,8.819271403,8.026817102,0.007358609,1984,estuary_chesapeakebay_cb8.1
17.29139332,8.774781716,8.026,0.006229461,1984,estuary_chesapeakebay_cb8.1e
18.02539095,7.674625,7.574605809,0.011423927,1998,estuary_chesapeakebay_ebb01
17.65079412,7.833562582,7.640432277,0.00892987,1989,estuary_chesapeakebay_ebe1
16.18655617,9.632596685,,0.011401134,1984,estuary_chesapeakebay_ee1.1
16.25028037,9.498689139,,0.009613353,1984,estuary_chesapeakebay_ee2.1
16.13037475,9.557114625,,0.009121459,1984,estuary_chesapeakebay_ee2.2
15.77671569,9.025490196,,0.010945843,1986,estuary_chesapeakebay_ee3.0
16.4004008,8.851903808,,0.009940157,1984,estuary_chesapeakebay_ee3.1
16.53518124,8.820682303,,0.00850326,1986,estuary_chesapeakebay_ee3.2
18.05069767,8.619767442,,0.009734391,1986,estuary_chesapeakebay_ee3.3
18.25494888,8.976774091,8.110661939,0.011572239,1984,estuary_chesapeakebay_ee3.4
17.92819808,8.819880619,8.112505695,0.009819624,1984,estuary_chesapeakebay_ee3.5
17.19211382,8.372295082,7.740901639,0.010038377,1998,estuary_chesapeakebay_eld01
17.61573705,7.7366,7.605341365,0.008683904,1998,estuary_chesapeakebay_ele01
16.917,8.751806433,7.845059524,0.011542051,1989,estuary_chesapeakebay_eli2
16.31067708,10.51253264,8.42816092,0.035337916,1985,estuary_chesapeakebay_et1.1
16.18049383,6.858855721,6.42585034,0.003801504,1986,estuary_chesapeakebay_et10.1
15.51717172,9.152658228,,0.005022447,1985,estuary_chesapeakebay_et2.1
15.72276215,10.34307692,7.977464789,0.031649281,1985,estuary_chesapeakebay_et2.2
15.92666667,9.225990099,,0.005000731,1985,estuary_chesapeakebay_et2.3
15.62285012,10.14269136,7.99549505,0.051486619,1985,estuary_chesapeakebay_et3.1
16.82627737,9.251648352,7.417906977,0.031573383,1984,estuary_chesapeakebay_et4.1
16.01451906,9.709454545,,0.01430249,1984,estuary_chesapeakebay_et4.2
17.48040886,8.143247863,7.31,0.016375761,1984,estuary_chesapeakebay_et5.1
16.87598684,8.705436573,7.8812,0.011895447,1984,estuary_chesapeakebay_et5.2
16.16855037,8.75382716,7.077777778,0.020160251,1986,estuary_chesapeakebay_et6.1
16.26699267,8.797799511,,0.012080943,1986,estuary_chesapeakebay_et6.2
16.0885,8.214,,0.011400903,1986,estuary_chesapeakebay_et7.1
16.58435208,8.902444988,,0.00994953,1986,estuary_chesapeakebay_et8.1
16.39325301,9.048674699,,0.007640005,1986,estuary_chesapeakebay_et9.1
17.41908517,9.232148499,8.142423208,0.015531351,1985,estuary_chesapeakebay_le1.1
17.19967213,9.27044335,8.16025641,0.013720058,1985,estuary_chesapeakebay_le1.2
17.23856921,9.18549142,8.161598361,0.012388561,1985,estuary_chesapeakebay_le1.3
16.83858268,8.902056962,8.180100503,0.011578975,1985,estuary_chesapeakebay_le1.4
17.16896,9.669070513,8.396039604,0.01219382,1984,estuary_chesapeakebay_le2.2
17.63489149,9.379448161,8.289411765,0.009124648,1984,estuary_chesapeakebay_le2.3
18.28389522,9.477134438,8.287600224,0.009272823,1984,estuary_chesapeakebay_le3.6
18.46876809,9.492752328,8.292037736,0.008820085,1984,estuary_chesapeakebay_le3.7
18.26761145,9.026218445,8.045626911,0.009517219,1996,estuary_chesapeakebay_le5.5_w
17.06751004,8.428130081,7.793481781,0.009472727,1998,estuary_chesapeakebay_lfa01
17.79313008,7.864567901,7.665942623,0.014443694,1998,estuary_chesapeakebay_lfb01
17.61804384,10.02937182,8.165838509,0.021932282,1986,estuary_chesapeakebay_mat0016
15.13049404,8.249313894,7.277873563,0.002512129,1986,estuary_chesapeakebay_mat0078
17.9511254,6.853074434,6.759967846,0.009043192,2003,estuary_chesapeakebay_mti0015
14.84133791,8.694619377,7.28777027,0.001881214,1986,estuary_chesapeakebay_pis0033
17.3180791,7.6,7.154034091,0.014455896,2003,estuary_chesapeakebay_pxt0455
17.62962357,8.097372742,7.873986486,0.019749799,1985,estuary_chesapeakebay_ret1.1
17.43404605,8.828311258,7.72516129,0.006060766,1986,estuary_chesapeakebay_ret2.1
17.50486656,8.50821485,,0.006323375,1984,estuary_chesapeakebay_ret2.2
17.26133333,8.216247906,,0.01107958,1986,estuary_chesapeakebay_ret2.4
17.91169533,8.705995025,7.140841584,0.014760068,1988,estuary_chesapeakebay_ret5.1a
18.2594186,7.32023393,7.493045977,0.006009087,1989,estuary_chesapeakebay_sbe2
20.68331378,6.849686509,7.283090379,0.005234626,1989,estuary_chesapeakebay_sbe5
16.01759868,8.567161716,,0.005113228,1985,estuary_chesapeakebay_tf1.3
16.63832237,8.451151316,,0.018366375,1985,estuary_chesapeakebay_tf1.4
17.98175182,8.925411335,7.680648464,0.027817605,1985,estuary_chesapeakebay_tf1.5
17.464,8.219699499,7.62345679,0.017634679,1985,estuary_chesapeakebay_tf1.6
18.32415459,7.596306452,7.495402685,0.01175223,1985,estuary_chesapeakebay_tf1.7
17.79711864,9.098296422,7.833333333,0.008877248,1986,estuary_chesapeakebay_tf2.1
17.74854202,9.152586207,7.915979381,0.010052691,1986,estuary_chesapeakebay_tf2.2
17.95636646,9.2390625,7.937857143,0.012371725,1984,estuary_chesapeakebay_tf2.3
17.56519608,8.948190789,7.785365854,0.009070916,1986,estuary_chesapeakebay_tf2.4
17.70475783,8.648247126,6.986424419,0.009835707,1988,estuary_chesapeakebay_tf3.1b
17.11563636,9.233140244,7.070181818,0.008183279,1991,estuary_chesapeakebay_tf3.1e
16.79533101,9.236666667,7.194260563,0.015915095,1994,estuary_chesapeakebay_tf3.2a
18.15691176,9.310125,7.60034398,0.024190088,1988,estuary_chesapeakebay_tf5.5a
18.0397551,7.84218107,7.564238683,0.015881991,1998,estuary_chesapeakebay_wbb05
17.51808955,8.687278378,7.836774194,0.012919859,1989,estuary_chesapeakebay_wbe1
18.29283633,8.93411,8.182201835,0.008230731,1984,estuary_chesapeakebay_we4.1
18.33378891,8.805990414,8.123085299,0.008812142,1984,estuary_chesapeakebay_we4.2
18.20873188,8.879941068,8.145883424,0.007792222,1984,estuary_chesapeakebay_we4.3
18.32777091,8.645988487,8.117717996,0.007291805,1984,estuary_chesapeakebay_we4.4
17.07835052,8.7328125,,0.030634742,2003,estuary_chesapeakebay_wiw0141
16.05831266,10.16848635,8.136656891,0.032994582,1984,estuary_chesapeakebay_wt1.1
15.90931373,9.881372549,7.818639706,0.018163214,1984,estuary_chesapeakebay_wt2.1
16.17647059,9.962745098,7.65026738,0.016313678,1984,estuary_chesapeakebay_wt3.1
16.30520095,10.8465721,8.43356974,0.079126271,1984,estuary_chesapeakebay_wt4.1
17.08883415,10.55164474,8.196516393,0.027588441,1984,estuary_chesapeakebay_wt5.1
15.92029703,10.23415842,8.228638498,0.01723213,1984,estuary_chesapeakebay_wt6.1
15.84275184,10.06879607,,0.019212738,1984,estuary_chesapeakebay_wt7.1
16.78598131,9.793224299,8.23495935,0.020028138,1984,estuary_chesapeakebay_wt8.1
16.85724466,9.70807601,8.175977654,0.018733475,1984,estuary_chesapeakebay_wt8.2
16.38061466,9.440661939,,0.016476895,1984,estuary_chesapeakebay_wt8.3
16.40265849,8.109202454,,0.008679586,1990,estuary_chesapeakebay_wxt0001
17.55229885,8.029885057,7.274450867,0.003628026,2003,estuary_chesapeakebay_wxt0013
17.90994854,9.542241379,8.086206897,0.011904197,1986,estuary_chesapeakebay_xfb1986
14.66176471,9.506617647,,0.011705399,1986,estuary_chesapeakebay_xgg8251
20.95917431,7.899082569,7.948440367,0.015566333,2004,estuary_chesapeakebay_xhf0460
19.69129129,8.692727273,7.758318318,0.033606356,2003,estuary_chesapeakebay_xjg7035
12.47883598,9.110582011,,0.009605263,1986,estuary_elbe_auenelbe_461
26.33236967,0.151061321,,0.001106429,1991,estuary_floridacoastaleverglades_station10
26.38696682,0.097233582,,0.00056445,1991,estuary_floridacoastaleverglades_station11
26.27584211,0.131168934,,0.002460074,1992,estuary_floridacoastaleverglades_station38
26.30015789,0.1449452,,0.00170173,1992,estuary_floridacoastaleverglades_station39
25.87121053,0.118156767,,0.002496737,1992,estuary_floridacoastaleverglades_station40
26.10073684,0.09934683,,0.002605332,1992,estuary_floridacoastaleverglades_station41
25.88143229,0.19164518,,0.000417659,1989,estuary_floridacoastaleverglades_station9
14.47098592,8.59154386,8.091863636,0.058480268,1980,estuary_loire_4148000
15.92074689,6.851735537,,0.040834555,1982,estuary_loire_4148500
13.84181365,6.810251884,7.350755943,0.015759403,1997,lake_loire_k091410
13.18691099,8.294764398,,0.002570588,2000,river_adourgaronne_05005400
14.4681592,8.746783042,,0.00385,1993,river_adourgaronne_05007600
13.69585799,9.420658683,,0.003835727,1997,river_adourgaronne_05063900
9.33,10.84983784,,0.001293733,2004,river_adourgaronne_05069400
19.5144,9.07552,,0.018156667,2001,river_adourgaronne_05079900
14.5265625,9.232265625,8.034186047,0.005138966,2001,river_adourgaronne_05083585
20.0247191,9.270357143,,0.009280087,2000,river_adourgaronne_05084800
13.50550265,9.755185185,8.048829787,0.002534884,2001,river_adourgaronne_05086280
16.36595745,9.53337386,,0.004751638,1993,river_adourgaronne_05111500
14.20684932,8.823931624,,0.005360326,2000,river_adourgaronne_05111530
16.0539267,8.402985075,,0.007681667,2001,river_adourgaronne_05111650
10.02027972,10.35192857,,0.001522222,2006,river_adourgaronne_05140090
12.28926702,9.878073879,7.412868217,0.003990166,1987,river_bretagne_04164850
14.43547368,9.519572193,7.860125,0.017657377,2007,river_bretagne_04165800
12.10635359,9.348787879,7.195584906,0.002254107,1981,river_bretagne_04167000
13.04177515,9.173213368,,0.0194255,1987,river_bretagne_04168140
11.51835381,10.70911548,7.44476378,0.003077643,1987,river_bretagne_04170500
11.98889474,10.59,7.44391635,0.002439182,1987,river_bretagne_04172030
11.6470418,10.49881029,7.206987179,0.002384615,1990,river_bretagne_04172890
11.6588,10.69950588,7.356962963,0.002391067,1987,river_bretagne_04173100
11.59615979,9.323195876,6.820035461,0.001392713,1987,river_bretagne_04174250
12.62224638,10.87583394,,0.012199321,1981,river_bretagne_04179500
12.262,10.18649383,6.993043478,0.011269912,1987,river_bretagne_04190850
14.09074627,9.697861272,7.124941176,0.007054378,1987,river_bretagne_04192100
12.12504545,9.158020833,7.181578947,0.002503419,2003,river_bretagne_04192800
11.275,9.789791667,7.268740157,0.001504348,2003,river_bretagne_04193500
12.32763975,10.77606476,7.101737089,0.013605045,1980,river_bretagne_04194000
11.22794444,9.662078652,7.213809524,0.001553913,2003,river_bretagne_04194600
13.09808933,9.488379747,7.352125604,0.006150977,1981,river_bretagne_04196000
13.51272727,9.900193237,7.287088608,0.00400354,2005,river_bretagne_04196449
13.17162037,9.604042553,7.387328244,0.001843609,2003,river_bretagne_04197700
12.23034247,9.713660131,7.178214286,0.003759292,2005,river_bretagne_04198010
13.85021912,9.873505976,7.318078292,0.014397735,1980,river_bretagne_04199200
13.1385514,9.629906542,7.555820313,0.008086442,1981,river_bretagne_04201000
12.51421769,9.326962457,7.384513889,0.009571531,2002,river_bretagne_04201350
13.31031949,9.742788462,7.495522388,0.014284577,1997,river_bretagne_04204300
13.99392786,9.18305835,7.420062696,0.025592743,1980,river_bretagne_04207000
14.22621377,9.545354331,7.701052632,0.029262739,1980,river_bretagne_04211000
14.87332627,10.25280851,7.868521739,0.051057879,1981,river_bretagne_04213000
15.0566343,9.135616883,7.717531646,0.018793035,1997,river_bretagne_04215750
12.9246837,9.822036585,7.550034014,0.024291944,1980,river_bretagne_04216000
12.93319372,9.02408377,7.329212598,0.004313793,2003,river_bretagne_04217100
15.51598985,10.0544757,7.874251497,0.004156443,1986,river_chesapeakebay_ana0082
13.09591837,10.30383632,,0.002567048,1986,river_chesapeakebay_ant0044
12.8715736,9.749367089,,0.002424177,1986,river_chesapeakebay_ant0203
12.13477366,10.64620123,,0.00397897,1986,river_chesapeakebay_ant0366
12.18772379,10.22025641,,0.002264111,1986,river_chesapeakebay_bpc0035
12.38172589,10.23358779,,0.002492141,1986,river_chesapeakebay_cac0031
12.41087289,10.62171254,7.951428571,0.002970427,1986,river_chesapeakebay_cac0148
13.37792208,10.88877285,,0.002194129,1986,river_chesapeakebay_cjb0005
13.52966752,10.50395408,,0.001817092,1986,river_chesapeakebay_con0005
12.8251073,10.51327623,,0.002113045,1986,river_chesapeakebay_con0180
12.81875923,10.68185185,7.695481928,0.001776053,1986,river_chesapeakebay_der0015
14.4913486,9.740920716,,0.004286968,1986,river_chesapeakebay_gun0125
12.0219697,10.99741641,,0.001940719,1986,river_chesapeakebay_gun0258
11.75454545,11.09336709,,0.001522262,1986,river_chesapeakebay_gun0476
12.75810219,10.27272727,7.7,0.001693982,1986,river_chesapeakebay_gwn0115
12.07193878,10.73069054,,0.00168879,1986,river_chesapeakebay_jon0184
13.49539642,9.896153846,,0.002803458,1986,river_chesapeakebay_mon0020
13.23350254,9.755979644,,0.003471624,1986,river_chesapeakebay_mon0155
13.12264631,9.831043257,,0.002319368,1986,river_chesapeakebay_mon0269
12.87069409,9.513881748,,0.003059764,1986,river_chesapeakebay_mon0528
11.95982143,10.57853949,,0.001572447,1986,river_chesapeakebay_npa0165
13.04923858,10.37150127,,0.002383783,1986,river_chesapeakebay_pat0176
12.81696203,10.35279188,,0.002052383,1986,river_chesapeakebay_pat0285
15.62467866,9.8921875,,0.002970257,1986,river_chesapeakebay_pot1184
15.41624365,9.775318066,,0.00245178,1986,river_chesapeakebay_pot1471
15.26989529,9.941994751,,0.002234835,1986,river_chesapeakebay_pot1472
13.79462916,9.955269923,,0.002228826,1986,river_chesapeakebay_pot1595
14.05747423,9.836787565,,0.002501534,1986,river_chesapeakebay_pot1596
14.40964467,10.3519084,,0.002029326,1986,river_chesapeakebay_pot1830
13.9043257,10.12106599,,0.001364534,1986,river_chesapeakebay_pot2386
13.9255814,9.82924282,,0.007144458,1986,river_chesapeakebay_pxt0809
12.07003058,10.51564417,7.385263158,0.00124029,1986,river_chesapeakebay_pxt0972
13.80360825,9.499480519,,0.004475403,1986,river_chesapeakebay_rcm0111
13.34141414,10.76142132,,0.002307921,1986,river_chesapeakebay_sen0008
14.53204969,8.761768369,7.326351351,0.002241638,1985,river_chesapeakebay_tf1.0
14.7425,9.175568182,7.261409091,0.003192078,1985,river_chesapeakebay_tf1.2
14.48449519,10.24866511,7.279925,0.002568466,1988,river_chesapeakebay_tf3.0
11.28639504,10.54357768,,0.035482189,1979,river_danube_danubegod
15.21768707,11.16027397,8.399099099,0.114388889,1992,river_elbe_elbe_464
14.10405405,8.596632997,,0.039680374,1992,river_elbe_elbe_482
12.62032193,9.485605749,7.52832636,0.005352216,1980,river_loire_04009000
12.53742911,9.9725,7.584095238,0.006484615,1980,river_loire_04015000
14.62068182,9.872744186,7.713898305,0.011821,1981,river_loire_04021000
12.35219365,10.49850769,7.772299465,0.020342401,1980,river_loire_04026000
12.42142857,9.693174061,,0.006032759,1980,river_loire_04036000
14.04311741,10.28229209,8.066098305,0.011936195,1981,river_loire_04044000
11.39393258,10.75861678,7.792963855,0.031479234,1980,river_loire_04045000
13.60094162,10.52552987,7.940097087,0.026377994,1980,river_loire_04045900
14.74209524,10.57329502,8.244823151,0.019189439,1989,river_loire_04046800
14.03308081,11.11236641,8.319145299,0.029254388,1992,river_loire_04048000
14.18888889,10.72829439,8.35277193,0.039371029,1987,river_loire_04051400
14.8533557,10.75584459,8.289689441,0.021114384,1989,river_loire_04051850
14.20420168,11.41692568,8.417493473,0.04403468,1980,river_loire_04053000
13.78238411,11.36230053,8.495845511,0.04403759,1980,river_loire_04056000
10.74022346,10.85502814,7.595539216,0.003690736,1981,river_loire_04057000
13.08327787,9.988760331,7.50359447,0.006525652,1980,river_loire_04060000
14.41787004,10.051787,7.866625387,0.018521932,1981,river_loire_04064000
14.21446541,10.48572632,7.988403756,0.02230625,1981,river_loire_04065000
14.71863905,10.63192878,8.145,0.007096524,1992,river_loire_04068200
14.37279152,10.81703375,8.146425703,0.024666867,1980,river_loire_04070300
14.12833724,10.72620253,8.206619718,0.041950571,1981,river_loire_04071000
13.0275814,9.581869159,7.583811881,0.005266315,1981,river_loire_04072850
13.420625,9.423165618,7.682415094,0.009032462,1980,river_loire_04074000
14.20219298,10.0015859,7.877433628,0.003373837,2002,river_loire_04074200
13.125323,10.93536451,8.1121843,0.019584519,1980,river_loire_04075000
12.45950125,10.37770574,,0.005172613,1980,river_loire_04079000
13.94904215,10.24229885,7.141640625,0.006407802,1992,river_loire_04080900
14.30589812,9.58233871,,0.0061186,1988,river_loire_04081300
13.73852459,9.820903491,,0.008429393,1980,river_loire_04082000
16.37005495,9.798125,,0.014411828,1987,river_loire_04086200
14.16307947,10.2877643,7.963762376,0.012445063,1980,river_loire_04086500
14.20662983,10.11801105,,0.015806593,2008,river_loire_04102990
14.97340426,9.935779817,8.022512563,0.019081739,2002,river_loire_04103200
14.24234694,10.02564103,8.100392157,0.035020168,2000,river_loire_04107390
13.4781072,10.46270134,8.056791045,0.029371229,1980,river_loire_04108000
13.55485893,10.53490566,,0.026065269,1992,river_loire_04108200
13.2504209,10.35288406,8.108151261,0.027757855,1980,river_loire_04110000
11.7755102,10.33115226,,0.005622901,1997,river_loire_04110700
13.18908046,9.65362069,,0.011579615,1987,river_loire_04110800
12.8113555,9.46025641,,0.019770404,1987,river_loire_04112200
13.15668896,10.64505051,,0.013802985,1997,river_loire_04113250
13.3450774,10.91922118,,0.023046405,1993,river_loire_04113800
14.28024457,9.982273973,,0.026854419,1987,river_loire_04115200
13.72526882,10.48275676,8.238956522,0.035424444,1992,river_loire_04118400
13.55762868,9.731497227,,0.025384649,1980,river_loire_04119000
14.22296588,9.927382199,8.05654321,0.030082326,1992,river_loire_04122100
11.825,10.58605,,0.007586585,2004,river_loire_04123250
12.77776765,10.00207763,,0.014932061,1987,river_loire_04123750
13.425,10.29035088,7.578384615,0.020821557,1997,river_loire_04124850
13.91034591,10.40598131,7.78293125,0.020409375,1997,river_loire_04126500
14.23160772,10.4928013,7.9165625,0.021657182,1998,river_loire_04128490
15.19161765,10.15563415,8.154726027,0.031334638,1981,river_loire_04130000
13.62987118,10.53487097,8.112691358,0.032214274,1980,river_loire_04132500
13.58600683,8.894041096,7.977016129,0.009046957,2004,river_loire_04133550
12.62823899,11.13459941,8.34031348,0.07320291,1981,river_loire_04134500
13.32577114,10.06566445,7.829016854,0.017001815,1980,river_loire_04134700
13.67484848,9.347333333,7.618114286,0.022782229,1995,river_loire_04134900
13.94828418,10.29932796,8.3305,0.060481277,1980,river_loire_04137000
13.47410714,8.754970238,,0.007127039,1993,river_loire_04143400
12.84776786,8.541646707,,0.009345145,1993,river_loire_04143500
12.35813253,8.778493976,7.273916084,0.003410366,1995,river_loire_04146350
13.54,8.997622739,,0.008573604,1987,river_loire_04146500
14.47098592,8.59154386,8.091863636,0.058480268,1980,river_loire_04148000
15.89189189,6.958153846,,0.038122059,1982,river_loire_04148500
14.0742515,10.1548503,,0.017836905,2008,river_loire_4102990
14.44751676,6.800214393,7.625272531,0.016666791,1997,river_loire_k091410
12.43697548,10.4486612,,0.017300183,1990,river_rhone_06026000
11.96539604,10.98449029,,0.010550261,1990,river_rhone_06027000
12.488327,10.22065693,,0.032685328,1990,river_rhone_06029000
14.33300716,10.32217703,,0.021256913,1990,river_rhone_06035500
17.64706478,8.576463415,,0.012977671,1990,river_rhone_06189500
13.79878519,10.34216667,8.086918239,0.002666972,1980,river_seine_03014000
13.00569593,9.698782051,8.154427083,0.001704218,1992,river_seine_03018951
12.32496552,10.15321429,,0.004577385,2007,river_seine_03034961
12.847,10.27431472,7.927078652,0.003310278,2007,river_seine_03035455
11.39509901,9.6406,8.08311828,0.002737073,2007,river_seine_03036510
11.44335,9.953282051,8.022688172,0.002867831,2007,river_seine_03041247
14.27953545,10.197733,,0.002667943,1980,river_seine_03048000
11.8421519,9.661052632,7.931363636,0.006394659,2007,river_seine_03052656
12.11898148,10.1065566,7.964941176,0.003254217,2005,river_seine_03053310
13.3763,10.11437975,,0.007040493,1980,river_seine_03055000
13.35581315,10.10350694,,0.013832881,1980,river_seine_03070440
12.10111111,9.52752381,8.019247312,0.005304828,2007,river_seine_03079622
14.32017094,10.58156522,7.864586735,0.002732513,1990,river_seine_03080660
14.214625,10.0084596,,0.003792417,1980,river_seine_03081000
13.89904762,9.514083601,,0.003460833,1980,river_seine_03111000
13.88252836,10.52577371,7.947292208,0.002833419,1980,river_seine_03112480
14.846,8.424768786,7.813333333,0.006225373,1980,river_seine_03126000
13.10508982,9.547469636,,0.006866845,1980,river_seine_03133850
13.813382,9.725530864,7.987115385,0.006281696,1980,river_seine_03138000
13.17177953,9.539148265,7.995708464,0.005282007,1980,river_seine_03156000
12.42118483,11.19245192,8.148646465,0.003967123,2007,river_seine_03156580
11.3318408,9.569390863,7.926707071,0.006635955,2007,river_seine_03164180
12.43068807,9.896372093,,0.003344304,2007,river_seine_03166050
13.28514388,9.552316176,,0.005964677,1997,river_seine_03170100
13.31915584,8.056824324,7.917410714,0.019676316,2008,river_seine_03231260
11.73531401,10.63222772,7.676728972,0.004366234,2007,river_seine_03241957
12.28074766,10.12399038,7.5361875,0.00796748,1997,river_seine_03249300
13.37287356,9.979181287,7.50125,0.004279012,1990,river_seine_03266975
